flower_part,checked,sort,BAER,BOLE,COER,EPMI,GRBU,GRSP,HATE,HEPU,LEES,PELA,PEPU,PHPH,PILI,PUTU
inflorescence_stalk,,1,,,"inflorescence stalk for buds, flowers or finished flowers",,"inflorescence stalk for buds, flowers or finished flowers","inflorescence stalk for buds, flowers or finished flowers",,,,,,,"inflorescence stalk for buds, flowers or finished flowers",
inflorescence_bud_tiny,,2,,,unstalked inflorescence bud; weight includes stalk and miniature buds; long before individual buds are discernable,,,,tiny inflorescence bud with surrounding bracts; this stage lasts for many months,,,,,,,
inflorescence_bud_small,,3,,,,,"inflorescence bud; weight includes stalk, but tiny buds are removed and designated separately",inflorescence bud; weight includes stalk and miniature buds; stage before individual buds are discernable,small inflorescence bud with surrounding bracts; stage at which inflorescence buds are just beginning to expand,,,,,,,
inflorescence_bud_mid,,4,,,stalked  inflorescence bud; weight includes stalk and miniature buds; stage before individual buds are discernable,,,,mid-sized inflorescence bud with surrounding bracts,,,,,,stalked  inflorescence bud; weight includes stalk and developing bracts containing miniature buds; stage before individual buds are discernable,
inflorescence_bud_big_bracts,,5,,,,,,,set of bracts from a single inflorescence; this is the stage at which the bracts are shed,,,,,,,
inflorescence_bud_big_flowers,,6,,,,,,,"all floral material within one inflorescence bud; still counted as ""1 per inflorescence"" NOT ""1 per flower""",,,,,,,
bud_aborted,x,7,,,,,,,,,buds that have aborted just after they begin to form; includes all flower parts,,buds that have aborted just after they begin to form; includes all flower parts,,,
bud_tiny,x,8,buds that are just starting to form; includes all flower parts,"buds that are just starting to form; all flower parts, including pedicel",,buds that are just starting to form; includes all flower parts,buds that are just discernable; includes all flower parts; counted per flower,buds that are just discernable; includes all flower parts; counted per flower,,,buds that are just starting to form; includes all flower parts,,buds that are just starting to form; includes all flower parts,,,
bud_small,x,10,small buds; includes all flower parts,"small buds; all flower parts, including pedicel",,,small buds; includes all flower parts; counted per flower,small buds; includes all flower parts; counted per flower,,small buds; includes all flower parts,,small buds; includes all flower parts,,"small buds; all flower parts including bract, pedicel, and calyx",,
bud_mid,x,11,mid-sized buds; includes all flower parts,"mid-sized buds; all flower parts, including pedicel",,"mid-sized buds; all flower parts, including pedicel",mid-sized buds; includes all flower parts; counted per flower,mid-sized buds; includes all flower parts; counted per flower,,,mid-sized buds; includes all flower parts,mid-sized buds; includes all flower parts,,"mid-sized buds; all flower parts including bract, pedicel, and calyx",,
bud_mid_by_length,x,12,,,,,,,,,,,,,,
bud_big,x,13,large buds; includes all flower parts,"large buds; all flower parts, including pedicel","large buds; all flower parts, including bract",large buds; includes all flower parts,large buds; includes all flower parts; counted per flower,large buds; includes all flower parts; counted per flower,,large buds; includes all flower parts,large buds; includes all flower parts,large buds; includes all flower parts,large buds; includes all flower parts,,large buds; includes all flower parts,large buds; includes all flower parts
bud_big_by_length,x,14,,,,,,,,,,,,,,
bud_just_opening,x,15,buds just starting to open; includes all flower parts,,,,,almost open flower; all floral parts; counted per flower,,,,,,,,
flower_petals,,16,flower petals and stamens,set of 4 petals from 1 flower,"flower petals, collected from very late finished fruit, as this is the first point petals detach from the rest",petals removed from finished flower because you can't separate them while in flower; just did 6 more,petals and stamens,petals and stamens,flower petals and stamens; units are per flower,flower petals and stamens,flower petals,flower petals,flower petals,flower petals and stamens,flower petals and stamens,flower petals
flower_petals_small,,18,,,,,,,,,,,,smaller flower petals and stamens,,
flower_stigma,,19,entire carpel from a flower in full bloom,,"carpel and bract from individual in full flower; since petals still firmly attached at flowering stage, weight determined by subtracting ""flower_all_parts"" - ""flower petals""",,carpel and pedicel,carpel and pedicel,carpel from individual in full flower; units are per flower,,,carpel from individual in full flower,"carpel from individual in full flower; includes ""fluff""",carpel from individual in full flower,"carpel, weight estimated as 0.1*flower_calyx",carpel and stamens from individual in full flower
flower_calyx,,20,,"calyx, carpel, stamens",,"includes calyx, pedicel, carpel, stamensof flowers in full bloom; collected parts include petals, but their weight is subtracted off",,,,calyx and carpel in full flower,"calyx, pedicel, carpel, stamens of flowers in full bloom",,NOT SURE IF THIS CATEGORY EXISTS AT THE MOMENT; need to weight until plants in flower,calyx from individual in full flower,"flower calyx; Collected parts include both calyx and carpel, which can't be separate because carpel too small, so subtract off weight of ""flower_stigma"" from collected weights",calyx from individual in full flower
flower_aborted,,22,,,,,,,,,,,,"aborted flower with petals, but much lighter than other flowers; includes all flower parts",,"aborted flower with petals, but much lighter than other flowers; includes all flower parts"
flower_aborted_without_petals,,23,,,,,,,,,,,,"aborted flower without petals; these are lighter than small buds, so not part of main progression;  includes all flower parts",,
flower_style,,,"style, but not ovary from a finished flower",,,,,,,,,,,,,
finished_flower,,24,,"flower with petals that have closed after flowering; the carpels, petals, and pedicel have been removed","browning flower; includes bract, ovary; weight of petals subtracted off, since petals can't be removed until later stage","includes calyx, pedicel, carpel, stamens as petals are wilting",,,,"calyx and carpel as petals are shedding; termed ""just shed"" in census sheets","calyx, pedicel, carpel, stamens as petals are shedding",,,,,
finished_flower_calyx,,,,,,,,,,,,,,calyx from individual with browning petals,,
finished_flower_stigma,,26,carpel just after flowering,single carpel from a finished flower (1 of a set of 4),,,carpel and pedicel after petals have been shed,"carpel and pedicel; collected after petals shed, but before it becomes swollen",red carpel,,,carpel after petals shed,,carpel dissected from flowers with browning petals,,carpel and stamens dissected from flowers with browning petals
late_finished_flower,,27,,"calyx from late finished flower with the carpels, petals, and pedicel removed",,,,,,,,,,,,
late_finished_flower_calyx,,,,,,,,,,,,,,calyx from individual starting to form fruit,,
bract_flower_or_finished_flower,,28,,,,,,,,,,,,"pair of two bracts for flower, finished flower, or fruit",set of 4 bracts that surrounds an inflorescence,"set of brown bracts for flower, finished flower, or fruit"
inflorescence_stalk_in_fruit,,29,,,unbranched fruiting stems,,,inflorescence stalk in fruit,,,,,,,,
influorescence_stalk_in_fruit_large,,30,,,fruiting stems with a single branch,,,,,,,,,,,
influorescence_stalk_in_fruit_very_large,,31,,,fruiting stems with two branches,,,,,,,,,,,
fruit_just_starting,,32,small fruit - corn kernal sized,small fruit,"still covered by petals or petals just fallen off; includes bract (petals removed and weighed separately as ""flower - petals"")",,"2-3 mm fruit, measured as swollen section; includes pedicel","2-3 mm fruit, measured as swollen section; includes pedicel","very small fruit, still very skinny",,smallest fruit category; still includes calyx,"just past the ""finished flower stigma"" stage; still very small, with the carpel more obvious than the fruit",very tiny fruit,very tiny fruit,,
fruit_young,,34,mid-sized fruit,mid-sized fruit,green fruit; bract a separate part,young fruit that is a brown sphere visible within the calyx; includes calyx and pedicel,"4-6 mm fruit, measured as swollen section; includes pedicel","4-5 mm fruit, measured as swollen section; includes pedicel","slightly larger, but still skinny fruit",mid-sized fruit; calyx weighed separately,mid-sized fruit; calyx weighed separately,fruit that is 3-6 mm in length,mid-sized fruit,small green fruit,not yet inflated white fruit; calyx weighed separately,
fruit_large_immature,,36,large green fruit - nearly full sized,large green fruit,orange fruit; bract a separate part,"stage at which the fruit is beginning to bulge out of the calyx, but is not yet hardening; includes calyx and pedicel","fruit more than 7 mm in length, the point at which the seeds begin to expand more; a fruit can grow and stay at this ""stage"" for several censuses","fruit more than 6 mm in length, the point at which the seeds begin to expand more; a fruit can grow and stay at this ""stage"" for several censuses","larger fruit, but not yet hardeneed","large, but not yet dry fruit; calyx weighed separately","large, but still green fruit; calyx weighed separately","fruit that is more than 7 mm in diameter , but not yet mature; a fruit can grow and stay at this ""stage"" for several censuses","large, but not yet mature fruit",green fruit,"nearly full size, still green fruit; calyx weighed separately",green fruit
fruit_aborted,,38,,,,,,,shriveled fruit that is shedding early,"aborted fruit, including calyx; based on weight, this has aborted quite early","brown, round, dry fruit, but much small than ""mature fruit""; calyx separate",,very small fruit; don't contain a seed and the seed pod is quite small; determination based on weight,aborted or wormy fruit,empty seed pod or seed pod with aborting fruit,"aborted, small, usually flattened fruit"
fruit_empty,,39,,,,,,,,,,,"full sized fruit, but much lighter weight, because no seed (or a very small seed) inside; determined based on weight",,,
fruit_mature,,40,,,bright orange fruit; bract a separate part,"mature fruit, including calyx and pedicel (because they are fused to the fruit and therefore part of the dispersal unit)",,,,"mature, dry fruit; set of 4 from a single flower counted as ""1""","brown, round, plump, dry fruit; calyx separate; seed fused to fruit, so this is the dispersal unit",,"dry, full fruit; considered ""viable"" (vesus aborted or empty) based on weight; for tagged plants, actual fruit removed from cone; seed fused to fruit, so this is the dispersal unit",,,
calyx_fruit,x,42,,,,,,,,"calyx from a young fruit, large immature fruit or mature fruit",calyx and pedicel from a large immature fruit or mature fruit,,,,,
bract_fruit,,45,,,"bract from a young fruit, large immature fruit or mature fruit",,,,,,,,,,,
pedicel,,46,,pedicel from a flower or finished flower,,,"pedicel from a mature fruit; considered a separate part once at ""fruit large immature"" as this is when they start expanding","pedicel from a mature fruit; considered a separate part once at ""fruit large immature"" as this is when they start expanding",,,,"pedicel in flower, finished flower or fruit",,,,
seed_pod,,47,"mature seed pod, including papery layer between seeds; removed from cone",seed pod once fruit is large and black,,,seed pod once seed is mature; varies considerably by length; does not include pedicel,seed pod once seed is mature; varies considerably by length; does not include pedicel,hardened seed pods with mature or immature seeds removed,,,combination of various outer fruit layers (fleshy and woody) removed from mature seed,,seed pod from around seed or aborted seed,black seed pod from around seed or aborted seed,seed pod from around seed or aborted seed
seed_immature,,49,,,,,,,"immature seed; already large, but not yet full weight or hardened",,,,,,,
seed_aborted,,50,"aborted, flat seeds; for tagged plants, removed and weighed actual seeds from cones",,,,seeds that are quite flat and much lighter than others of similar length,seeds that are quite flat and much lighter than others of similar length,"aborted seeds removed from pods; considered ""aborted"" by weight",,,,,"flat, lightweight seed; seeds determined ""aborted"" either visually or by weight",,"flat, lightweight seed; seeds determined ""aborted"" either visually or by weight"
seed,,51,"fully mature seeds; for tagged plants, removed and weighed actual seeds from cones","smooth, glossy black seed",,,mature seeds weighed from pod; all mature seeds similar weight regardless of pod length,mature seeds weighed from pod; all mature seeds similar weight regardless of pod length,"mature seeds removed from pods; considered ""viable"" based on weight",,,"seed with fleshy and woody layers removed; since seed size variable with fruit size, use regression equation to calculate seed weight",,"round, healthy seed; seeds determined ""viable"" by weight","round, healthy, white-colored seed","round, healthy seed; seeds determined ""viable"" by weight"
cone_just_starting,,53,,,,,,,,,,,"very young cone; just a mound of ""cone"" starting to form",,,
cone_young,,54,"young cone that is still quite skinny and mostly lengthening, although some increase in width as well; base included in length at this stage",,,,,,,,,,young cone that is in the process of lengthening; can stay at this stage through several size transitions,,,
cone_green,,55,"young cone that is no beginning to widen, as well as lengthen; usually at ""tiny_bud"" stage, but on some robust plants, reach this stage before buds begin expanding; can stay at this stage through several size transitions; base weighed separately at this stage",,,,,,,,,,green cone with large buds or in flower; can stay at this stage through several size transitions,,,
cone_brown_no_expanded_follicles,,56,"mature, dry cone where no follicles matured; quite skinny and floppy compared to ""cone_brown""",,,,,,,,,,,,,
cone_brown,,57,"mature, dry cone containing at least some mature follicles",,,,,,,,,,"mature, dry cone containing at least come ""mature"" fruit, although all the fruit might be empty or aborted",,,
cone_aborted,,58,"cone that has aborted long before flowering; usually transitions to this from a small-sized ""cone_green""",,,,,,,,,,cone that has aborted either before flowering or at the start of flowering,,,
cone_base_green,,59,base of a growing cone; woody section that elevates cone above branch and has no flowers,,,,,,,,,,,,,
cone_base_brown,,60,base of a mature cone; woody section that elevates cone above branch and has no flowers,,,,,,,,,,,,,
